title,sort,teachable_type,course,term,lesson_number,media,linked_assets,link,heading,tags,question_list
KaViaR.SS17.LA2.E11+,Kaviar,Lesson,Lineare Algebra 2,SS&2017,11,KaViaR.SS17.LA2.E11&KaViaR.SS17.LA2.SP02,,,,O(2)&adjungierte Abbildung&selbstadjungierter Endomorphismus,
KaViaR.SS17.LA2.E12+,Kaviar,Lesson,Lineare Algebra 2,SS&2017,12,KaViaR.SS17.LA2.E12&KaViaR.SS17.LA2.SP03,SeSAM.SS17.LA2.E04&KeKs.SS17.LA2.Q05,,,selbstadjungierter Endomorphismus&Spektralsatz für selbstadjungierte Endomorphismen&Hauptachsentransformation,
KaViaR.SS17.LA2.E13,Kaviar,Lesson,Lineare Algebra 2,SS&2017,13,KaViaR.SS17.LA2.E13,KeKs.SS17.LA2.Q06,,,Sesquilinearform&hermitesche Form&unitärer Raum&normaler Endomorphismus,
KaViaR.SS17.LA2.E14,Kaviar,Lesson,Lineare Algebra 2,SS&2017,14,KaViaR.SS17.LA2.E14,KeKs.SS17.LA2.Q07,,,Spektralsatz für normale Endomorphismen&Ring&Ringhomomorphismus&Ideal&Restklasse&Faktorring,
KaViaR.SS17.LA2.E15,Kaviar,Lesson,Lineare Algebra 2,SS&2017,15,KaViaR.SS17.LA2.E15,KeKs.SS17.LA2.Q08,,,Nullteiler&Einheit&nullteilerfreier Ring&Teiler&größter gemeinsamer Teiler,
KaViaR.SS17.LA2.E16,Kaviar,Lesson,Lineare Algebra 2,SS&2017,16,KaViaR.SS17.LA2.E16,,,,irreduzibles Element&Primelement&faktorieller Ring&HIR sind faktoriell,
KaViaR.SS17.LA2.E17,Kaviar,Lesson,Lineare Algebra 2,SS&2017,17,KaViaR.SS17.LA2.E17,SeSAM.SS17.LA2.E05,,,Euklidischer Ring&Euklidische Ringe sind faktoriell&Euklidischer Algorithmus&Gauß-Diagonalisierung von Matrizen über Euklidischen Ringen,
KaViaR.SS17.LA2.E18,Kaviar,Lesson,Lineare Algebra 2,SS&2017,18,KaViaR.SS17.LA2.E18,SeSAM.SS17.LA2.E06,,,Äquivalenz und Ähnlichkeit von Matrizen über Ringen&Fittingideale&Fittings Lemma&Elementarteilersatz für Matrizen über Euklidischen Ringen,
KaViaR.SS17.LA2.E19,Kaviar,Lesson,Lineare Algebra 2,SS&2017,19,KaViaR.SS17.LA2.E19,SeSAM.SS17.LA2.E07,,,charakteristische Matrix eines Endomorphismus&Satz von Frobenius&Invarianten- und Determinantenteiler einer Matrix&Invariantenteilersatz,
KaViaR.SS17.LA2.E20,Kaviar,Lesson,Lineare Algebra 2,SS&2017,20,KaViaR.SS17.LA2.E20,SeSAM.SS17.LA2.E08,,,Begleitmatrix&Frobenius-Normalform,
