title,sort,description,heading,linked_media,author,teachable_type,course,term,lesson_number,video_file_link,video_stream_link,video_thumbnail_link,manuscript_link,external_reference_link,width,height,embedded_width,embedded_height,length,pages,video_size,manuscript_size,authoring_software,video_player,question_id,question_list,tags
KaViaR.SS17.LA2.E21,Kaviar,,,SeSAM.SS17.LA2.E09&SeSAM.SS17.LA2.E10&KeKs.SS17.LA2.Q09,Denis Vogel,Lesson,Lineare Algebra 2,SS&2017,21,ss17/Lineare_Algebra_2/LineareAlgebra.S02E21.1080p/LineareAlgebra.S02E21.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E21.1080p/LineareAlgebra.S02E21.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E21.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E21.pdf,,1620,1080,1080,720,1h25m33s,5,164 MiB,2.8 MiB,Camtasia 9,TechSmith SmartPlayer,,,Weierstrass-Normalform&Jordanmatrix&Jordansche Normalform
KaViaR.SS17.LA2.E22,Kaviar,,,KeKs.SS17.LA2.Q10,Denis Vogel,Lesson,Lineare Algebra 2,SS&2017,22,ss17/Lineare_Algebra_2/LineareAlgebra.S02E22.1080p/LineareAlgebra.S02E22.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E22.1080p/LineareAlgebra.S02E22.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E22.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E22.pdf,,1620,1080,1080,720,1h27m02s,5,176 MiB,3.0 MiB,Camtasia 9,TechSmith SmartPlayer,,,Modul&Modulhomomorphismus&Untermodul&Faktormodul&Erzeugendensystem eines Moduls&lineare Unabhängigkeit in Moduln&Basis eines freien Moduls&freier Modul
KaViaR.SS17.LA2.E23,Kaviar,,,KeKs.SS17.LA2.Q11,Denis Vogel,Lesson,Lineare Algebra 2,SS&2017,23,ss17/Lineare_Algebra_2/LineareAlgebra.S02E23.1080p/LineareAlgebra.S02E23.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E23.1080p/LineareAlgebra.S02E23.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E23.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E23.pdf,,1620,1080,1080,720,1h25m44s,4,179 MiB,2.6 MiB,Camtasia 9,TechSmith SmartPlayer,,,Torsionsuntermodul&Länge eines Moduls&Länge einer direkten Summe von Moduln
KaViaR.SS17.LA2.E24,Kaviar,,,,Denis Vogel,Lesson,Lineare Algebra 2,SS&2017,24,ss17/Lineare_Algebra_2/LineareAlgebra.S02E24.1080p/LineareAlgebra.S02E24.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E24.1080p/LineareAlgebra.S02E24.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E24.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E24.pdf,,1620,1080,1080,720,1h29m57s,4,178 MiB,2.6 MiB,Camtasia 9,TechSmith SmartPlayer,,,Rang eines endlich freien Moduls über einem HIR&Diagonalisierung von Matrizen über einem HIR
KaViaR.SS17.LA2.E25,Kaviar,,,,Denis Vogel,Lesson,Lineare Algebra 2,SS&2017,25,ss17/Lineare_Algebra_2/LineareAlgebra.S02E25.1080p/LineareAlgebra.S02E25.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E25.1080p/LineareAlgebra.S02E25.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E25.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E25.pdf,,1620,1080,1080,720,1h27m30s,4,182 MiB,2.4 MiB,Camtasia 9,TechSmith SmartPlayer,,,Elementarteilersatz für Untermoduln endlich freier Moduln über HIR
KaViaR.SS17.LA2.E26,Kaviar,,,KeKs.SS17.LA2.Q12,Denis Vogel,Lesson,Lineare Algebra 2,SS&2017,26,ss17/Lineare_Algebra_2/LineareAlgebra.S02E26.1080p/LineareAlgebra.S02E26.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E26.1080p/LineareAlgebra.S02E26.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E26.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E26.pdf,,1620,1080,1080,720,1h21m21s,4,167 MiB,2.2 MiB,Camtasia 9,TechSmith SmartPlayer,,,Hauptsatz für endlich erzeugte Moduln über HIR&Hauptsatz für endlich erzeugte abelsche Gruppen&Chinesischer Restsatz über HIR
KaViaR.SS17.LA2.E27,Kaviar,,,SeSAM.SS17.LA2.E11,Denis Vogel,Lesson,Lineare Algebra 2,SS&2017,27,ss17/Lineare_Algebra_2/LineareAlgebra.S02E27.1080p/LineareAlgebra.S02E27.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E27.1080p/LineareAlgebra.S02E27.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E27.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E27.pdf,,1620,1080,1080,720,0h54m30s,3,112 MiB,1.6 MiB,Camtasia 9,TechSmith SmartPlayer,,,Hauptsatz für endlich erzeugte Moduln über HIR&Hauptsatz für endlich erzeugte abelsche Gruppen
KaViaR.SS17.LA2.SP01,Kaviar,Vorlesungszusatzvideo,,,Denis Vogel,Lesson,Lineare Algebra 2,SS&2017,10,ss17/Lineare_Algebra_2/LineareAlgebra.S00E01.1080p/LineareAlgebra.S00E01.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S00E01.1080p/LineareAlgebra.S00E01.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S00E01.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S00E01.pdf,,1620,1080,1080,720,0h13m48s,1,32 MiB,0.7 MiB,Camtasia 9,TechSmith SmartPlayer,,,orthogonale und spezielle orthogonale Gruppe
KaViaR.SS17.LA2.SP02,Kaviar,Vorlesungszusatzvideo,,,Denis Vogel,Lesson,Lineare Algebra 2,SS&2017,11,ss17/Lineare_Algebra_2/LineareAlgebra.S00E02.1080p/LineareAlgebra.S00E02.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S00E02.1080p/LineareAlgebra.S00E02.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S00E02.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S00E02.pdf,,1620,1080,1080,720,1h00m27s,4,136 MiB,2.6 MiB,Camtasia 9,TechSmith SmartPlayer,,,orthogonale und spezielle orthogonale Gruppe
KaViaR.SS17.LA2.SP03,Kaviar,Vorlesungszusatzvideo,,,Denis Vogel,Lesson,Lineare Algebra 2,SS&2017,12,ss17/Lineare_Algebra_2/LineareAlgebra.S00E03.1080p/LineareAlgebra.S00E03.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S00E02.1080p/LineareAlgebra.S00E02.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S00E03.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S00E03.pdf,,1620,1080,1080,720,0h16m38s,2,33 MiB,0.7 MiB,Camtasia 9,TechSmith SmartPlayer,,,Spektralsatz für selbstadjungierte Endomorphismen
